id,news_url,title,tweet_ids
gossipcop-918456,https://people.com/tv/scandals-bellamy-young-talks-being-adopted-landing-her-big-break/,"Bellamy Young Opens Up About Being Adopted, Her Real First Name and How She Almost Missed Out on Scandal",970725646249971713	970726930688434176	970727654931468288	970728134189502464	970729714112380928	970731516992131075	970735641741885440	970735832423452677	970735946919489536	970737384093552640	970811217496309760	970919279351816192
gossipcop-912950,http://www.bravotv.com/the-daily-dish/one-of-the-real-housewives-of-orange-county-will-not-return-next-season,Find Out Which of The Real Housewives of Orange County Won't Be Returning,962088077912166400	962088241896869888	962090470867439631	962090753991229440	962090866230943744	962091266216312834	962091543820632066	962091866408783873	962093774624112640	962095201694175232	962096042412949504	962099701662306306	962099952376778753	962100921613344769	962104515519483907	962106874106703872	962112980719718402	962115538330648576	962118550885367809	962128230093410305	962132349004652544	962159930349322240	962219470109294593	962227994118033413	962235519143948288	962342690359619584	962376088050655232	962721342603845632	962931668628705280	962960361396764672	962960373593919488	962960415985684480
gossipcop-857846,https://people.com/pets/everything-we-know-about-the-bachelorettes-dog-copper-including-what-happened-to-his-paw/,The Bachelorette Rachel Lindsay's Dog Copper and What Happened to His Leg,
gossipcop-870658,https://people.com/movies/ben-affleck-is-enjoying-his-summer-with-lindsay-shookus-as-they-vacation-in-maine-says-source/,"Ben Affleck Is 'Enjoying His Summer' with Lindsay Shookus as They Vacation in Maine, Says Source",892477888301236226	892478641317216256	892478897627025408	892479001805156353	892480572299386880	892480662854402048	892481615472975872	892481997721022465	892482111889788928	892483494974074880	892483511139041284	892486379296268289	892487640850718720	892490377936162820	892491241614659584	892516443115409412	892516581720371205	892516637651480577	892516682207567872	892516691158106113	892516707142651904	892516722405773313	892516726126120961	892516855277129729	892516862323458048	892516976131702785	892517088300081152	892517094830592001	892517179735896065	892517209930682368	892517343137607684	892517356358037508	892517376826236928	892517386276007937	892517438432178176	892517457574887425	892517456438321152	892517484695257088	892517603582889984	892517606917378048	892517665184649216	892517728057208832	892519895623139328	892556516942852100	892572680414691328	892579196383481856	892618879796523008
gossipcop-940977,https://theworldnews.net/us-news/becca-tilley-is-the-5th-wheel-among-2-bachelor-couples-at-wango-tango-this-is-fun,"Becca Tilley Is the 5th Wheel Among 2 Bachelor Couples at Wango Tango: ""This Is Fun""",1003346312580878336	1003346320461950976	1003346318410936320	1003346322752065536	1003346602285846529	1003347415192211458	1003348121257115649	1003348164470927360	1003348963846737921	1003349004200050694	1003349454345441285	1003353617305227264	1003355322952515584	1003360264434176004	1003360289725829120	1003360459477708801	1003360457862807553	1003360471515389952	1003360495758381056	1003360546882752512	1003360718756999168	1003360756656738310	1003360772385226753	1003360799862161409	1003360825707515904	1003360943500390400	1003360973825150980	1003361000450678785	1003361011083235328	1003361030343397377	1003361207577972737	1003361221876297730	1003361234039787520	1003361238703857664	1003361265610383361	1003361455972995072	1003361477187768320	1003361516777869312	1003361531688603649	1003361548918812674	1003361592610836481	1003370644023795713	1003379663966785536	1003532360720281601	1003537407940145152
gossipcop-858032,https://medium.com/@AndreAguirre25111NTZ/alexa-chung-says-you-must-own-this-1-piece-from-her-latest-collection-9c81aa382e02,Alexa Chung Says You Must Own This 1 Piece From Her Latest Collection,871338076978765824	871338108968550401	871339053555138560	871339192382504960	871339703248617473	871339817480720384	871339914272624640	871340023341305856	871340093671387136	871340153784213504	871340193395159041	871340204027781120	871340227515871232	871340235866730497	871340329370341376	871340356520079360	871340490129649664	871340684132929536	871341078762237952	871341078003163137	871342085860843522	871342183621607424	871342335199784960	871342564783210496	871343320126980096	871343499454676993	871343521411862528	871343572632694784	871343599740440577	871343599153184768	871343609773264897	871343631675871232	871343672171913217	871343684205326336	871343736357359616	871343783379652609	871343802237190144	871344057255055361	871344279981105152	871344985597018112	871345122159587329	871346004540272641	871346067014467585	871346063843524608	871346396334616576	871347152638881792	871347151036706816	871347161803374593	871347369652215808	871347425717477376	871347444193402881	871347460970512384	871347468155445249	871347470843949056	871347547285188608	871347599843917825	871347638699995136	871348521659645954	871348589737328640	871351045506650112	871351384901390336	871351425057640448	871351444875747328	871353483991015425	871354114789171200	871356512890789888	871356981294006272	871358764485627904	871361020270436352	871364704639356928	871370354207469568	871371486983897088	871371526649520128	871371525227720713	871371523935883264	871371540029427712	871371593607467008	871372077412077568	871372578543345664	871375581601865728	871377722424950785	871377914138374145	871377941745324033	871377955552985089	871378027535577088	871378025937555456	871378056518275073	871378183211409408	871378184226426880	871378213242580993	871378276291416066	871378280066232321	871378312475660289	871378385116770305	871378431145111552	871378442259922944	871378445686669312	871378487797526528	871378557934727168	871378630252781570	871378651945848832	871378667120840704	871378683470262273	871378689950457856	871378692462833665	871378735131275266	871378734678462466	871379993670144000	871383430075830272	871415527318503428	871422605667872768	871428159408709632	871428213326716931	871440938316423168	871440937494339584	871440936110182401	871441946132135936	871511699609616384	871537373045239808	871681285902577664	872103076869623808	872104052435410948	872106044662706177	872107610513833984	872129456227442689	872129959787200514	872136508358230016	872161169099902976	872164970502422528	872165709387767808	872169732237127686	872178288885628929	872185327397609473	872185583334039554	872188875665547264	872191491812331520	872195397824991232	872201182068047872	872201455716978689	872204024547729409	872204060220309504	872215776933146625
gossipcop-915349,https://www.vibe.com/2018/02/rihanna-birthday-toni-braxton-paris-hilton,Rihanna Rings In Her 30th Birthday With Toni Braxton And Paris Hilton,966403439688388613	966404241962164225	966404384799170560	966404740941787136	966404813629067264	966405105586237442	966405536718643200	966405686396506113	966406168355659776	966406397041639424	966408431191064577	966410891217399809	966411288824786944	966412328806862848	966415036859129856	966416977240637440	966422073030582272	966425065721012224	966427110607937536	966428899788951552	966429113148936192	966429115967565830	966429115158089731	966429382150639617	966429403180863494	966429410864910336	966429429110108160	966429436894687232	966429434344439808	966429594336153600	966429615928393728	966429634756825088	966429643921416193	966429682848665601	966429808409436161	966429861177954304	966429890005422080	966429913564745729	966429932166533120	966429938701172736	966429955994345478	966429965284794369	966429975837593600	966429990643478528	966429999103430657	966430011698933760	966430157266477056	966435637816647681	966437138244952064	966437138123276288	966437506697764864	966442480454348801	966449248957968384	966454826715328513	966459894793519104	966464735418793984	966466792037257216	966633443110146048	966634152870236160	966634161581772800	966634179663486976	966634241902641152	966634276669329408	966635266432753664	966635911474745344	966641623823155200	966644073741389824	966646211422941184	966655216010571777	966656466957557762	966663876338159616	966673940604125186	966675500293869573	966675547744100352	966682937738620928	966709250952220673	966829604592930817	966920979879362561	967466206470041600
gossipcop-887233,https://www.cbsnews.com/news/ed-sheeran-breaks-arm-in-bike-accident/,Ed Sheeran says he broke his arm in bike accident,919931935220264960	919931947358605314	919931953348005889	919932286572859392	919933373992222721	919933697138274304	919933987585384450	919933989057544192	919934015267774464	919934028001697793	919934957132300293	919935581584609282	919936447452516353	919937432900030464	919937481503662080	919937498314240001	919938627047698433	919940875899342848	919941174332358657	919941185124405248	919942853060521985	919944746558218240	919948219341312000	919952247965990913	919981325494386689	919981337397821440	919981386420891648	919981441194262529	919981471011692549	919981591828553728	919981801824800774	919981806748950528	919981818107097088	919981826453790720	919981865989222400	919981873434112001	919981902899171331	919981902290915329	919981904232841216	919982073905065985	919982097615421441	919982097074393090	919982107753140224	919982137683730432	919982167308021761	919982184777338880	919982397290106886	919982414922907648	919982453988773888	919982472049430528	919982555079888899	920161150603444224	920430553094148102	920431837549383680	920432201782542336	920434052947202048	920436306659958790	920436887818514432	920439803686080512	920440980897181696	920450382232301569	920458058660220928	920521981077880832	920531951605436416	920578515472351232	920609962283425792
gossipcop-890284,https://nypost.com/2013/10/19/the-childhood-hell-of-the-lost-boys/,The childhood hell of ‘The Lost Boys’,925125173715464194	925125318599360517	925125456172593153	925126811926790144	925128236421480448	925128348216459264	925131321961218053	925133345775935488	925135449554857984	925137082342834176	925145569391083521	925218910890283008	925734351010258944
gossipcop-877019,https://www.nbcnews.com/news/world/disneyland-paris-apologizes-banning-little-boy-princess-day-experience-n797601,Disneyland Paris Apologizes for Banning Little Boy From 'Princess for a Day' Experience,903069908195565568	903086716092727296	903143205314682880	903186800520417280	903206957951135744	903223270719324160	903263650504466432	903280533739855872	903289610838589441	903290406833602560	903292005719134208	903293404070719488	903301531419779077	903302516779212801	903303057575903232	903309264290103300	903311344216059904	903316538115194881	903324875091320832	903326104362119171	903330236762284034	903332542144802817	903341240674009088	903346954792468486	903351861411008516	903369346059251712	903387012585148417	903425773914267649	903453309687750656	903481785371074560	903570658260643840	904316224536027137	904468086392283136
gossipcop-930658,https://www.usmagazine.com/celebrity-news/pictures/katy-perry-her-darling-orlando-bloom-meet-pope-francis/,"Katy Perry, Her ‘Darling’ Orlando Bloom Meet Pope Francis",990257020585566208	990257351658786818	990257932922171392	990258636004917256	990263082944466944	990263313291296769	990263773003960320	990266109562638336	990267598632824832	990267841797611520	990267920252055553	990268153652432896	990268507475542017	990268810253881344	990269441475862531	990269440175439872	990269447108808704	990269571243356161	990270049356263424	990270140825702401	990270176909115393	990270328638066688	990270339555868672	990270400100630529	990270421097312256	990270555927523331	990270924971651074	990270928033533952	990272109363580928	990272334664695813	990273039769227268	990273192940879872	990273598278586368	990274723681652736	990276474744717312	990276577274482688	990277459672162309	990277462096400385	990284026110853120	990284131815669760	990291420106944512	990294238507229186	990297704596111364	990298854791639040	990300889498902529	990301133594857472	990301146534285313	990304516032618501	990306968140214273	990307060079181824	990307666776895488	990308314742484993	990311804818677760	990311868060393472	990313458028761088	990317724357275648	990317745047785472	990319433544499200	990319803796742145	990319893911252992	990321302522261506	990321328010952704	990321336097615872	990321349104193536	990321371136888832	990321516758863872	990321547582889985	990321583213424641	990321590171783170	990321597356572673	990321611516600320	990321671683919873	990321677081903104	990321780664528897	990321820116144128	990321854660464640	990321870556803073	990322042137399296	990322056205127680	990322091143696385	990322298992414721	990322304725942274	990322342411849730	990322346270580736	990322353937764353	990322401710833666	990322404537794560	990323115166175237	990329617616658438	990331588666769408	990334152972161024	990365605906788353	990369474841923584	990372758616985601	990378069134213120	990379898756894720	990381911754334208	990382105870913544	990402061505323008	990412795471716352	990425589403279360	990432633690755073	990432700346531840	990440028231880704	990449899899584512	990450386208256001	990458521044078593	990462458182725632	990463687595995138	990472626614218752	990474118641270786	990483715343224837	990486520770555904	990486662340898816	990486686898548737	990486847984881664	990487217788346368	990488435692572672	990489813802418176	990492970834120704	990493961818165248	990494207348527104	990495460103282688	990498528211415041	990501943901589504	990503518430777344	990506835600859137	990509980318085120	990513379209986050	990579519424778240	990593933280464897	990594615807041536	990704069126901767	990721185058091008	990761891667492864	990761899850526720	990763221672919040	990812473681895424	990812474818510849	990939348005777410	991238545292562432	991292400466300930	991307753342849024	991400731734233088	1004573851798376449
gossipcop-918032,https://people.com/movies/amber-tamblyn-baby-almost-hit-car-nyc/,Amber Tamblyn Says She's 'Very Shaken' After a Car Tried to 'Hit' Her and Her Baby in N.Y.C.,970441270907801600	970441297218670595	970441305926094854	970441431637725184	970441756645801984	970442028139020288	970442096543977473	970444353746427904	970448420023320576	970456016759369728	970460495428947968	970639378878902273	970658546491822081
gossipcop-896517,https://www.indiewire.com/2017/11/gotham-awards-2017-complete-winners-list-1201901260/,Gotham Awards 2017: Complete Winners List,935316260799369216	935322038281162753	935324153158258688	935324552703262720	935325913633492992	935325950673383424	935327048486309889	935327627942006784	935328250234011648	935328986116382720	935330844880920576	935332543976521728	935333162024136704	935333724098572288	935338256199307264	935339066828214272	935343005732626432	935344112835944448	935344866841841664	935348333408698368	935348341323337728	935379158661763073	935389196847591424	935394690458779648	935400178512809984	935404235654606848	935404285612953601	935404450847567872	935404460288946176	935404459676590080	935404462058897408	935404466387513344	935404503490289664	935404671572824065	935404694054277122	935404693307756544	935404701817954305	935404716019912704	935404732973187073	935404729559146496	935404923818250240	935405168526548992	935405170091061248	935405181310787584	935405183051366401	935405189485486081	935405189426827265	935405191452614656	935405220091310080	935405433786912768	935405470386479104	935405526233550849	935409098157412353	935409616934129665	935409659321700352	935413229458677760	935413229454442496	935413232742760448	935413246198128641	935413244520312832	935413355115884544	935442725591232513	935466290592010240	935470714479550465	935471512064274433	935502850553245696	935516384926339072	935531400492732417	935535154550005761	935566845179871232	935623101135704077	935623116293918725	935638199011037186	939193913381998592	1017730233443774465
